2022-11-13 22:41:59,707 - project - DEBUG - stations collection dropped sucessfuly
2022-11-13 22:41:59,805 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:00,622 - project - DEBUG - Formating vlille to MongoDB format
2022-11-13 22:42:00,791 - project - INFO - Start fetching the update of vlilles
2022-11-13 22:42:00,791 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:01,251 - project - INFO - Updating databse : 260 elements to update...
2022-11-13 22:42:01,886 - project - DEBUG - Element 1/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 41
2022-11-13 22:42:01,942 - project - DEBUG - Element 2/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 147
2022-11-13 22:42:01,975 - project - DEBUG - Element 3/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 165
2022-11-13 22:42:02,016 - project - DEBUG - Element 4/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 44
2022-11-13 22:42:02,056 - project - DEBUG - Element 5/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 55
2022-11-13 22:42:02,097 - project - DEBUG - Element 6/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 193
2022-11-13 22:42:02,138 - project - DEBUG - Element 7/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 207
2022-11-13 22:42:02,179 - project - DEBUG - Element 8/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 245
2022-11-13 22:42:02,219 - project - DEBUG - Element 9/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 270
2022-11-13 22:42:02,268 - project - DEBUG - Element 10/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 11
2022-11-13 22:42:02,308 - project - DEBUG - Element 11/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 13
2022-11-13 22:42:02,348 - project - DEBUG - Element 12/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 160
2022-11-13 22:42:02,389 - project - DEBUG - Element 13/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 35
2022-11-13 22:42:02,431 - project - DEBUG - Element 14/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 96
2022-11-13 22:42:02,471 - project - DEBUG - Element 15/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 97
2022-11-13 22:42:02,512 - project - DEBUG - Element 16/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 100
2022-11-13 22:42:02,554 - project - DEBUG - Element 17/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 102
2022-11-13 22:42:02,594 - project - DEBUG - Element 18/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 144
2022-11-13 22:42:02,627 - project - DEBUG - Element 19/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 189
2022-11-13 22:42:02,675 - project - DEBUG - Element 20/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 30
2022-11-13 22:42:02,717 - project - DEBUG - Element 21/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 81
2022-11-13 22:42:02,758 - project - DEBUG - Element 22/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 83
2022-11-13 22:42:02,806 - project - DEBUG - Element 23/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 172
2022-11-13 22:42:02,846 - project - DEBUG - Element 24/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 90
2022-11-13 22:42:02,888 - project - DEBUG - Element 25/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 110
2022-11-13 22:42:02,927 - project - DEBUG - Element 26/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 153
2022-11-13 22:42:02,967 - project - DEBUG - Element 27/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 156
2022-11-13 22:42:03,009 - project - DEBUG - Element 28/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 202
2022-11-13 22:42:03,049 - project - DEBUG - Element 29/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 85
2022-11-13 22:42:03,082 - project - DEBUG - Element 30/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 266
2022-11-13 22:42:03,124 - project - DEBUG - Element 31/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 239
2022-11-13 22:42:03,162 - project - DEBUG - Element 32/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 242
2022-11-13 22:42:03,203 - project - DEBUG - Element 33/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 302
2022-11-13 22:42:03,244 - project - DEBUG - Element 34/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 303
2022-11-13 22:42:03,287 - project - DEBUG - Element 35/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 9
2022-11-13 22:42:03,325 - project - DEBUG - Element 36/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 32
2022-11-13 22:42:03,366 - project - DEBUG - Element 37/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 150
2022-11-13 22:42:03,409 - project - DEBUG - Element 38/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 45
2022-11-13 22:42:03,448 - project - DEBUG - Element 39/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 70
2022-11-13 22:42:03,489 - project - DEBUG - Element 40/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 122
2022-11-13 22:42:03,539 - project - DEBUG - Element 41/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 268
2022-11-13 22:42:03,580 - project - DEBUG - Element 42/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 269
2022-11-13 22:42:03,620 - project - DEBUG - Element 43/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 225
2022-11-13 22:42:03,662 - project - DEBUG - Element 44/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 248
2022-11-13 22:42:03,702 - project - DEBUG - Element 45/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 308
2022-11-13 22:42:03,743 - project - DEBUG - Element 46/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 271
2022-11-13 22:42:03,783 - project - DEBUG - Element 47/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 15
2022-11-13 22:42:03,824 - project - DEBUG - Element 48/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 224
2022-11-13 22:42:03,864 - project - DEBUG - Element 49/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 186
2022-11-13 22:42:03,905 - project - DEBUG - Element 50/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 188
2022-11-13 22:42:03,940 - project - DEBUG - Element 51/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 139
2022-11-13 22:42:03,980 - project - DEBUG - Element 52/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 197
2022-11-13 22:42:04,020 - project - DEBUG - Element 53/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 56
2022-11-13 22:42:04,070 - project - DEBUG - Element 54/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 57
2022-11-13 22:42:04,110 - project - DEBUG - Element 55/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 2
2022-11-13 22:42:04,143 - project - DEBUG - Element 56/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 4
2022-11-13 22:42:04,184 - project - DEBUG - Element 57/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 6
2022-11-13 22:42:04,224 - project - DEBUG - Element 58/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 257
2022-11-13 22:42:04,273 - project - DEBUG - Element 59/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 51
2022-11-13 22:42:04,316 - project - DEBUG - Element 60/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 76
2022-11-13 22:42:04,356 - project - DEBUG - Element 61/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 79
2022-11-13 22:42:04,397 - project - DEBUG - Element 62/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 91
2022-11-13 22:42:04,437 - project - DEBUG - Element 63/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 93
2022-11-13 22:42:04,486 - project - DEBUG - Element 64/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 78
2022-11-13 22:42:04,527 - project - DEBUG - Element 65/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 113
2022-11-13 22:42:04,568 - project - DEBUG - Element 66/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 217
2022-11-13 22:42:04,617 - project - DEBUG - Element 67/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 200
2022-11-13 22:42:04,666 - project - DEBUG - Element 68/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 86
2022-11-13 22:42:04,707 - project - DEBUG - Element 69/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 149
2022-11-13 22:42:04,749 - project - DEBUG - Element 70/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 265
2022-11-13 22:42:04,789 - project - DEBUG - Element 71/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 178
2022-11-13 22:42:04,829 - project - DEBUG - Element 72/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 238
2022-11-13 22:42:04,862 - project - DEBUG - Element 73/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 40
2022-11-13 22:42:04,911 - project - DEBUG - Element 74/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 73
2022-11-13 22:42:04,951 - project - DEBUG - Element 75/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 119
2022-11-13 22:42:04,984 - project - DEBUG - Element 76/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 125
